x,y,mean_flat_probability,residual_rms,residual_std,mean_abs_residual
448,384,0.9377343770912407,0.006301663269766926,0.006301663269766926,0.005000824178470243
512,384,0.9517203504531081,0.0062054006914767645,0.0062054006914767645,0.004949430947195662
576,384,0.9602512305040898,0.0060557162807423175,0.0060557162807423175,0.004834468321239523
640,384,0.9655500496640559,0.0059792316148248115,0.0059792316148248115,0.004770706975733272
704,384,0.936541788105113,0.011970972607433178,0.011970972607433178,0.006781585769086044
1600,384,0.8617324824048863,0.0074773817593137455,0.0074773817593137455,0.0054933529376960215
1664,384,0.8839541826783062,0.006075315643500519,0.006075315643500519,0.004689309430686036
1728,384,0.8834432497494524,0.0061157373687865686,0.0061157373687865686,0.004691242960070969
1792,384,0.8690800268895402,0.0065151382123704365,0.0065151382123704365,0.005027302003463737
1856,384,0.8662816321047795,0.006735539473481197,0.006735539473481197,0.005092313227463586
1920,384,0.8819708694412915,0.006082284613045539,0.006082284613045539,0.004417097036233256
0,448,0.9164687935004263,0.005797259041559031,0.005797259041559031,0.004550406982806565
64,448,0.9243212530296141,0.005803080764948065,0.005803080764948065,0.00457184695356447
128,448,0.9301107963062805,0.005810608663213207,0.005810608663213207,0.004596341845892114
192,448,0.9253345528448897,0.005852014742364458,0.005852014742364458,0.004622205316640399
256,448,0.9125479675389883,0.006174089257812997,0.006174089257812997,0.004895683470956389
320,448,0.9054723033771024,0.006267495746039242,0.006267495746039242,0.004963672234864656
384,448,0.9153187634896577,0.006251049307250813,0.006251049307250813,0.004934088116870798
448,448,0.9411411112950492,0.006217692161915084,0.006217692161915084,0.0049386015735609625
512,448,0.9454588650302145,0.0061530104015780785,0.0061530104015780785,0.004910936507532656
576,448,0.9380680675870796,0.005865760883062637,0.005865760883062637,0.004654618699450675
640,448,0.9312315114659764,0.005881483313068878,0.005881483313068878,0.004660954800111789
704,448,0.9279606685926529,0.006505601504296726,0.006505601504296726,0.00497708479921776
768,448,0.8965777903789904,0.010623748992060792,0.010623748992060792,0.006913354468533332
832,448,0.8231166195579669,0.01561900976218906,0.01561900976218906,0.010297912557930632
1664,448,0.8303390764691522,0.009627935597915397,0.009627935597915397,0.006343432295912787
1728,448,0.8224881127966945,0.007739653215747485,0.007739653215747485,0.005641185773420724
1792,448,0.834941673710018,0.0068694538759024055,0.0068694538759024055,0.005334064680250944
1856,448,0.8262535462943454,0.007259992739112301,0.007259992739112301,0.005505173054448821
1920,448,0.8339806602552741,0.007080671338559008,0.007080671338559008,0.005126401081577282
0,512,0.9102629582604925,0.006035091544033485,0.006035091544033485,0.004746303800584596
64,512,0.9224361819481334,0.00611411188733614,0.00611411188733614,0.004845100305690313
128,512,0.9214984245952376,0.005933014586012612,0.005933014586012612,0.0046727844669844885
192,512,0.916760117957008,0.006036185117476131,0.006036185117476131,0.004747236355984859
256,512,0.909909935909273,0.006392889759457198,0.006392889759457198,0.005077366526333671
320,512,0.8976788133043371,0.006424250236065945,0.006424250236065945,0.005098710293474781
384,512,0.9079881740772342,0.006245740387135558,0.006245740387135558,0.00495034913969894
448,512,0.9200823894271595,0.006040252216966744,0.006040252216966744,0.00480154574526406
512,512,0.9111096845253471,0.006062781371006445,0.006062781371006445,0.004826593496457463
576,512,0.9017278022661053,0.005899995452085114,0.005899995452085114,0.004651177271297546
640,512,0.8875515139232479,0.0060766813298986965,0.0060766813298986965,0.004778758309549219
704,512,0.8883205804657621,0.006369087157340739,0.006369087157340739,0.005031300584522111
768,512,0.8924374017966219,0.006382942922735521,0.006382942922735521,0.004993336563356887
832,512,0.8746393992974335,0.007737776495020259,0.007737776495020259,0.005628723537036995
1792,512,0.785188335296717,0.008180118899481316,0.008180118899481316,0.006144592888497477
1856,512,0.8021830471145003,0.007483282402612692,0.007483282402612692,0.005715086842253166
0,576,0.8838244532462228,0.006196730771813279,0.006196730771813279,0.004871587857323839
64,576,0.8862144215089591,0.0063567961868190226,0.0063567961868190226,0.005030954613731851
128,576,0.8903742924657008,0.006248410213615312,0.006248410213615312,0.004932581132541607
192,576,0.8960463973321071,0.006097411049018078,0.006097411049018078,0.004755509422248817
256,576,0.8909804567624532,0.006371473707123868,0.006371473707123868,0.004999558746891559
320,576,0.8754988723093904,0.006636105766893958,0.006636105766893958,0.005254153617630765
384,576,0.869866974696625,0.006731996711676672,0.006731996711676672,0.005307736151425673
448,576,0.862886138572738,0.006714677627768881,0.006714677627768881,0.005271289565600802
512,576,0.8614357100678062,0.00670903046561094,0.00670903046561094,0.005243225937878779
576,576,0.8591754452502642,0.006830739630615264,0.006830739630615264,0.0052810456879311685
640,576,0.850786305359372,0.006894803238414525,0.006894803238414525,0.005326291620463021
704,576,0.8612145253414545,0.00678179986416861,0.00678179986416861,0.005299422370432243
768,576,0.8153691735750823,0.007803293193569635,0.007803293193569635,0.005870203546252877
0,640,0.8658336448121351,0.006252280807389185,0.006252280807389185,0.004901256370415304
64,640,0.8482056725954678,0.006649143697180051,0.006649143697180051,0.005226777606303716
128,640,0.8507948521425097,0.0068672992972821515,0.0068672992972821515,0.0053159066791967175
192,640,0.8671351719242305,0.006511314246674478,0.006511314246674478,0.004963673086009792
256,640,0.8362213013320803,0.006908965422472019,0.006908965422472019,0.005304949431737146
320,640,0.805866012172479,0.007440182611980355,0.007440182611980355,0.005809021192854912
384,640,0.803211614262731,0.007711996115736219,0.007711996115736219,0.006059820384381525
448,640,0.7838291168180689,0.008223943941211573,0.008223943941211573,0.006414879104317567
512,640,0.8022224809701958,0.007904344837115204,0.007904344837115204,0.006121998018328199
576,640,0.7807555751243448,0.009183296770590668,0.009183296770590668,0.006654728115978736
0,704,0.8445438745197189,0.006475796315607481,0.006475796315607481,0.005049543491292209
64,704,0.8378913725046112,0.007037330522363892,0.007037330522363892,0.005537182799030281
128,704,0.8050088022179972,0.007759686324930063,0.007759686324930063,0.006002989230717832
192,704,0.8098987740663253,0.007641312399833507,0.007641312399833507,0.005866466372480686
256,704,0.801649898345272,0.007837626462192398,0.007837626462192398,0.006068445095099774
0,768,0.7939441617975667,0.010301821177766476,0.010301821177766476,0.006600978315512527
64,768,0.7805391220128172,0.012152541352246835,0.012152541352246835,0.00764317835088977
192,768,0.8014102700495176,0.008015350384291168,0.008015350384291168,0.006019035785959451
256,768,0.7991782980968354,0.011451430332538839,0.011451430332538839,0.006586206266926176
1408,768,0.7977413284901766,0.014363206627701824,0.014363206627701824,0.00904594496173565
1472,768,0.8008624839005636,0.01769552970301251,0.01769552970301251,0.009469583936485266
192,832,0.810187001321184,0.009373716014270853,0.009373716014270853,0.0060788173855748084
1344,832,0.8330823220994625,0.013861151216249264,0.013861151216249264,0.00817948433585644
1408,832,0.8208202692739568,0.025782236289313136,0.025782236289313136,0.012143671169762855
1280,896,0.8074326375041847,0.01773795319281729,0.01773795319281729,0.008795032765070076
1344,896,0.8441139255694863,0.015651437599103472,0.015651437599103472,0.008351127388001305
1344,960,0.8183222474719335,0.01588396521733542,0.01588396521733542,0.008584883836363152
1408,960,0.8201964990486121,0.014555252099662472,0.014555252099662472,0.008502329566623678
